Date,Title,Link,Content
21 May 2025,Celebrate 33 years of protecting the EU’s nature and join a Bioblitz near you,https://environment.ec.europa.eu/news/celebrate-33-years-protecting-eus-nature-and-join-bioblitz-near-you-2025-05-21_en,"European Natura 2000 Day is celebrated every year on 21 May. It marks the inception, 33 years ago, of a revolutionary approach to nature conservation in the EU – a large network of protected nature that maintains opportunities for economic and recreational development."
21 May 2025,Stockholm unveils ambitious climate action plan for 2030 – setting a bold example as the first European Green Capital awarded in 2010,https://environment.ec.europa.eu/news/stockholm-unveils-ambitious-climate-action-plan-2030-setting-bold-example-first-european-green-2025-05-21_en,"The city of Stockholm has officially launched its Environment Programme and Climate Action Plan 2030, laying out a comprehensive roadmap to become fossil-free, circular and climate-positive by 2040."
21 May 2025,Energy Efficiency: A new impetus to reduce energy consumption,https://energy.ec.europa.eu/news/energy-efficiency-new-impetus-reduce-energy-consumption-2025-05-21_en,"The Commission is launching a new, coordinated effort to put energy efficiency at the core of Europe’s economic and energy strategies."
21 May 2025,EU and Egypt conclude PRIMA negotiations at Horizon Europe Work Programme 2025 launch in Cairo,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/eu-and-egypt-conclude-prima-negotiations-horizon-europe-work-programme-2025-launch-cairo-2025-05-21_en,"On the sidelines of the Horizon Europe Work Programme 2025 launch event in Cairo, the EU and Egypt concluded negotiations on PRIMA, marking a major step forward in their research and innovation cooperation."
21 May 2025,EU-African Union ministerial convenes in Brussels to strengthen ties,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-african-union-ministerial-convenes-brussels-strengthen-ties-2025-05-21_en,"Today, the President of the European Commission, Ursula von der Leyen, will receive the Chairperson of the African Union Commission Mahmoud Ali Youssouf."
21 May 2025,First specialist book on inclusion in libraries in German-speaking countries published – with significant support from AccessibleEU,https://accessible-eu-centre.ec.europa.eu/content-corner/news/first-specialist-book-inclusion-libraries-german-speaking-countries-published-significant-support-2025-05-21_en,"A new 840-page standard work presents practical guidance for inclusive library services, offering diverse perspectives and actionable ideas across 11 chapters."
21 May 2025,JRC launches modelling hub for nuclear applications,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/jrc-launches-modelling-hub-nuclear-applications-2025-05-21_en,Digital tools and laboratory data will improve decision-making for nuclear industry and regulators.
21 May 2025,Simplification measures to save EU businesses €400 million annually,https://commission.europa.eu/news/simplification-measures-save-eu-businesses-eu400-million-annually-2025-05-21_en,The European Commission has proposed new measures to save EU companies a further €400 million in annual administrative costs.
21 May 2025,Have Your Say: Call for feedback on technical rules for smoothly switching electricity supplier,https://energy.ec.europa.eu/news/have-your-say-call-feedback-technical-rules-smoothly-switching-electricity-supplier-2025-05-21_en,"The European Commission has launched a 4-week public call for feedback on a draft set of technical rules designed to make switching electricity suppliers faster, simpler, and more transparent across the EU."
21 May 2025,Bringing down barriers to the single market to create opportunities for all,https://commission.europa.eu/news/bringing-down-barriers-single-market-create-opportunities-all-2025-05-21_en,The EU’s single market gives businesses access to 450 million consumers. It is the first driver of our competitiveness and the second largest global market.
21 May 2025,EU’s Recovery and Resilience Facility impact set to reach EUR 891.7 billion,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/eus-recovery-and-resilience-facility-impact-set-reach-eur-8917-billion-2025-05-21_en,All countries benefit from spillovers and some highly integrated EU economies even double the impact of their RRF allocation via spillover effects.
21 May 2025,EU’s fight against torture and other ill-treatment: working towards a “torture-free trade”,https://fpi.ec.europa.eu/news/eus-fight-against-torture-and-other-ill-treatment-working-towards-torture-free-trade-2025-05-21_en,"Despite their absolute prohibition under international law, torture and other ill-treatment persist all over the world, with tools of death and pain being still traded across the globe."
21 May 2025,A simpler Single Market to make companies choose Europe,https://single-market-economy.ec.europa.eu/news/simpler-single-market-make-companies-choose-europe-2025-05-21_en,"Today, the European Commission has presented a Single Market Strategy to create a more simple, seamless and strong European home market."
21 May 2025,EU investigates allegations of dumping of tyres from China,https://policy.trade.ec.europa.eu/news/eu-investigates-allegations-dumping-tyres-china-2025-05-21_en,"Today, the European Commission launched an investigation to assess whether anti-dumping measures are warranted on imports of tyres for passenger cars and light lorries from China."
21 May 2025,Omnibus IV,https://single-market-economy.ec.europa.eu/single-market/simplification_en,"The Commission proposes measures to boost incentives for SMEs to scale up, digitise regulatory processes, reduce red tape."
21 May 2025,EU announces €80 million humanitarian aid package for Yemen,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-announces-eu80-million-humanitarian-aid-package-yemen-2025-05-21_en,The Commission has announced €80 million in EU humanitarian funding for 2025 to support people in need in Yemen. Yemen continues to rank among the worst humanitarian crises in the world.
21 May 2025,Syria: Council statement on the lifting of EU economic sanctions,https://north-africa-middle-east-gulf.ec.europa.eu/news/syria-council-statement-lifting-eu-economic-sanctions-2025-05-21_en,"The EU has stood with the Syrian people throughout the last 14 years, engaging in the search for a political solution and leading financial assistance. The EU also adopted sanctions against Assad’s criminal regime."
21 May 2025,EU announces €80 million humanitarian aid package for Yemen,https://north-africa-middle-east-gulf.ec.europa.eu/news/eu-announces-eu80-million-humanitarian-aid-package-yemen-2025-05-21_en,"The Commission has announced €80 million in EU humanitarian funding for 2025 to support people in need in Yemen. Yemen continues to rank among the worst humanitarian crises in the world. One decade of conflict, economic deterioration and recurrent climate-induced events have left 19.5 million people"
21 May 2025,Results of 21-05-2025 auction (EU-Bills),https://commission.europa.eu/news/results-21-05-2025-auction-eu-bills-2025-05-21_en,Auction results EU-Bills.
21 May 2025,Yemen: Council approves conclusions calling for a renewed momentum in the peace efforts,https://north-africa-middle-east-gulf.ec.europa.eu/news/yemen-council-approves-conclusions-calling-renewed-momentum-peace-efforts-2025-05-21_en,"Today, the Council approved conclusions on Yemen expressing the EU's grave concern over the deterioration of the security, economic and humanitarian situation in the country."
21 May 2025,EU announces €80 million humanitarian aid package for Yemen,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-announces-eu80-million-humanitarian-aid-package-yemen-2025-05-21_en,The Commission has announced €80 million in EU humanitarian funding for 2025 to support people in need in Yemen. Yemen continues to rank among the worst humanitarian crises in the world.
21 May 2025,Commissioner Kadis in Ireland to open the European Maritime Day 2025,https://oceans-and-fisheries.ec.europa.eu/news/commissioner-kadis-ireland-open-european-maritime-day-2025-2025-05-21_en,"Costas Kadis, Commissioner for Oceans and Fisheries, will attend the European Maritime Day in Cork, in Ireland, on May 22 and 23, where he will officially open the event alongside Irish Prime minister Micheál Martin, Darragh O’Brien, Minister for Climate, Environment and Energy of Ireland,"
21 May 2025,Celebrating Natura 2000: protecting Europe’s wildlife and habitats,https://commission.europa.eu/news/celebrating-natura-2000-protecting-europes-wildlife-and-habitats-2025-05-21_en,"Learn about Natura 2000, the largest network of environmentally protected areas in the world, which has revolutionised how these areas are managed around the EU"
21 May 2025,4th STM subgroup 1 meeting: EU space operators discuss first draft report on civilian and military STM requirements,https://defence-industry-space.ec.europa.eu/4th-stm-subgroup-1-meeting-eu-space-operators-discuss-first-draft-report-civilian-and-military-stm-2025-05-21_en,"DG DEFIS and EEAS hosted the 4th meeting of STM subgroup 1 on civilian and military STM requirements. They presented a first draft report of civilian and military STM requirements, gathered from the extensive replies of, valuable contributions from and insightful discussions with EU operators in STM"
21 May 2025,Sustainable cities: Applicants competing for the 2027 European Green Capital and Green Leaf Awards,https://environment.ec.europa.eu/news/we-will-discover-applicant-cities-2027-european-green-capital-and-green-leaf-awards-2025-05-21_en,"For the 15th time, the European Commission is looking for the next winners of the European Green Capital and European Green Leaf Awards. In our challenging times, cities are at the forefront of sustainable action. 20 cities have entered the competition for the 2027 titles."
21 May 2025,Global Gateway in Africa: European Union and African Union take stock of significant progress,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-africa-european-union-and-african-union-take-stock-significant-progress-2025-05-21_en,"Today at the 3rd European Union and the African Union Ministerial Meeting, both continental institutions and their member states reviewed the considerable progress in the implementation of the joint commitments taken at the 2022 Summit and of the Global Gateway Europe-Africa Investment package."
21 May 2025,Strengthening social dialogue in the EU through the European Works Council,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1304,"This morning, the European Parliament and EU Member States reached a political agreement on the revised European Works Council Directive, which aims to strengthen social dialogue in the EU."
21 May 2025,EU announces €80 million humanitarian aid package for Yemen,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1254,The Commission has announced €80 million in EU humanitarian funding for 2025 to support people in need in Yemen.
21 May 2025,Commission proposes simplification measures to save EU businesses a further €400 million per year,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1277,"The European Commission proposes to cut €400 million in annual administrative cost for companies, adding to the €8 billion already targeted through earlier simplification efforts."
21 May 2025,A simpler Single Market to make companies choose Europe,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1274,"Today, the European Commission has presented a Single Market Strategy to create a more simple, seamless and strong European home market."
20 May 2025,Making waves in maritime cooperation: the power of IORIS,https://fpi.ec.europa.eu/news/making-waves-maritime-cooperation-power-ioris-2025-05-20_en,Boosting maritime security through real-time coordination across the Indo-Pacific.
20 May 2025,EU citizens give recommendations for a stronger EU budget,https://european-union.europa.eu/eu-citizens-give-recommendations-stronger-eu-budget-2025-05-20_en,"The recommendations are out from the final European Citizens’ Panel on the new EU long-term budget. After debate, 150 EU citizens concluded that the new European budget should focus on the environment, economic success, equal access to healthcare, renewable energy and AI, among other issues."
20 May 2025,Nearly €1 billion for producing renewable hydrogen in the EU,https://european-union.europa.eu/nearly-eu1-billion-producing-renewable-hydrogen-eu-2025-05-20_en,"The EU will fund 15 renewable hydrogen production projects in 5 European countries to produce more than 2 million tonnes of renewable hydrogen over 10 years. They will help decrease the use of fossil fuels on our continent, increase the EU’s energy independence and create jobs."
20 May 2025,EU pledges €2.3 billion at European Humanitarian Forum 2025,https://north-africa-middle-east-gulf.ec.europa.eu/news/eu-pledges-eu23-billion-european-humanitarian-forum-2025-2025-05-20_en,The European Commission announced an initial humanitarian pledge of over €2.3 billion for 2025 to address urgent global crises at the European Humanitarian Forum concluded today in Brussels.
20 May 2025,WHO unveils toolkit to support safer walking and cycling,https://urban-mobility-observatory.transport.ec.europa.eu/news-events/news/who-unveils-toolkit-support-safer-walking-and-cycling-2025-05-20_en,"The World Health Organization (WHO) marks UN Global Road Safety Week by urging action to make walking and cycling safer, launching a toolkit to help governments promote active, healthy, and sustainable travel."
20 May 2025,EU pledges €2.3 billion at European Humanitarian Forum 2025,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1253,The EU announced an initial humanitarian pledge of over €2.3 billion to address global crises in 2025. Over 305 million people around the world currently require urgent humanitarian assistance. The EU is now the world's leading humanitarian donor and a key advocate for humanitarian action.
20 May 2025,Commission adopts a user-friendly planning tool to support Member States in implementing the Nature Restoration Regulation,https://environment.ec.europa.eu/news/commission-adopts-user-friendly-planning-tool-support-member-states-implementing-nature-restoration-2025-05-20_en,"The European Commission has adopted an Implementing Regulation that establishes a uniform format for national restoration plans under the Nature Restoration Regulation, which entered into force in August 2024."
20 May 2025,EU pledges €2.3 billion at European Humanitarian Forum 2025,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-pledges-eu23-billion-european-humanitarian-forum-2025-2025-05-20_en,The European Commission announced an initial humanitarian pledge of over €2.3 billion for 2025 to address urgent global crises at the European Humanitarian Forum concluded today in Brussels.
20 May 2025,The Commission welcomes provisional agreement on new European Maritime Safety Agency mandate,https://transport.ec.europa.eu/news-events/news/commission-welcomes-provisional-agreement-new-european-maritime-safety-agency-mandate-2025-05-20_en,The Commission welcomes the provisional political agreement reached today between the Parliament and the Council to update the EMSA mandate.
20 May 2025,Making Connections: A New Tram Line for Tallinn’s Old Port,https://next-generation-eu.europa.eu/making-connections-new-tram-line-tallinns-old-port-2025-05-20_en,"Until recently, Tallinn's Old Port wasn't connected to the city centre by tram. With a NextGenerationEU investment of €36.5 million, things have changed, resulting in a more integrated public transport network, better infrastructural connections and improved quality of life for residents."
20 May 2025,EU adopts 17th sanctions package against Russia,https://enlargement.ec.europa.eu/news/eu-adopts-17th-sanctions-package-against-russia-2025-05-20_en,"The European Commission welcomes the Council's adoption of the 17th Russia sanctions package. New EU sanctions increase the cost for Russia to continue its war, adding pressure on its already strained and fragile economy. This is a clear signal of the EU's continued and unwavering support for..."
20 May 2025,Quand la résilience transforme des vies : plongez au cœur des communautés rurales du Burkina Faso et du Niger,https://trust-fund-for-africa.europa.eu/news/quand-la-resilience-transforme-des-vies-plongez-au-coeur-des-communautes-rurales-du-burkina-faso-et-2025-05-20_en,"Le projet « Améliorons Nos Vies », financé par le Fonds fiduciaire d'urgence pour l'Afrique, a renforcé durablement la sécurité alimentaire, amélioré la nutrition et consolidé la cohésion sociale."
20 May 2025,EU adopts 17th package of sanctions against Russia,https://finance.ec.europa.eu/news/eu-adopts-17th-package-sanctions-against-russia-2025-05-20_en,"The Commission welcomes the Council's adoption of the 17th Russia sanctions package, that aims to further restrict Russia's access to battlefield technologies and cut revenues from Russian energy imports by targeting an unprecedented number of vessels from Russia's shadow fleet."
20 May 2025,Commission proposes to facilitate the application of the safe third country concept,https://home-affairs.ec.europa.eu/news/commission-proposes-facilitate-application-safe-third-country-concept-2025-05-20_en,"The Commission proposed rules that will facilitate the application of the safe third country concept. This will accelerate asylum processes and reduce pressure on asylum systems, while preserving the legal safeguards for applicants and ensuring respect of fundamental rights."
20 May 2025,Flash Consumer Confidence Indicator,https://economy-finance.ec.europa.eu/news/flash-consumer-confidence-indicator-2025-05-20_en,"In May 2025, DG ECFIN’s flash estimate of the consumer confidence indicator increased by 1.4 percentage points (pps.) in both the EU and the euro area, partly reverting the significant losses of the previous month."
20 May 2025,Visa applications reach 11.7 million in EU and Schengen associated countries,https://home-affairs.ec.europa.eu/news/visa-applications-reach-117-million-eu-and-schengen-associated-countries-2025-05-20_en,The European Commission has published figures showing that the consulates of EU countries and Schengen associated countries received more than 11.7 million applications for short-stay visas in 2024. This is a 13.6 % increase compared to 2023.
